cwe_id,name,type,score,relationship_count
476,NULL Pointer Dereference,base,4.329000000000001,0
178,Improper Handling of Case Sensitivity,base,3.757,0
367,Time-of-check Time-of-use (TOCTOU) Race Condition,base,3.2656,0
416,Use After Free,variant,3.24,0
386,Symbolic Name not Mapping to Correct Object,base,2.9005600000000005,0
252,Unchecked Return Value,Base,2.90008505303064,0
908,Use of Uninitialized Resource,Base,2.9000731027711737,0
364,Signal Handler Race Condition,base,2.8651999999999997,0
1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,base,2.8651999999999997,0
609,Double-Checked Locking,base,2.8651999999999997,0
