cwe_id,name,type,score,relationship_count
434,Unrestricted Upload of File with Dangerous Type,base,5.031000000000001,0
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),base,5.031000000000001,0
98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),variant,4.5264,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),base,4.329000000000001,0
426,Untrusted Search Path,base,3.6399999999999997,0
184,Incomplete List of Disallowed Inputs,Base,2.902713255237619,0
322,Key Exchange without Entity Authentication,base,2.8651999999999997,0
425,Direct Request ('Forced Browsing'),base,2.8651999999999997,0
94,Improper Control of Generation of Code ('Code Injection'),base,2.8651999999999997,0
