cwe_id,name,type,score,relationship_count
386,Symbolic Name not Mapping to Correct Object,base,4.4954,0
201,Insertion of Sensitive Information Into Sent Data,base,4.329000000000001,0
212,Improper Removal of Sensitive Information Before Storage or Transfer,base,4.329000000000001,0
476,NULL Pointer Dereference,base,4.329000000000001,0
416,Use After Free,variant,3.7507200000000003,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
178,Improper Handling of Case Sensitivity,base,3.6399999999999997,0
123,Write-what-where Condition,base,3.3566,0
41,Improper Resolution of Path Equivalence,base,3.1252000000000004,0
457,Use of Uninitialized Variable,variant,3.1008,0
