cwe_id,name,type,score,relationship_count
613,Insufficient Session Expiration,base,4.329000000000001,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),base,3.6399999999999997,0
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),base,3.6399999999999997,0
787,Out-of-bounds Write,base,3.4866,0
73,External Control of File Name or Path,base,3.3566,0
20,Improper Input Validation,class,2.984,0
98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),variant,2.9184000000000005,0
322,Key Exchange without Entity Authentication,base,2.8651999999999997,0
825,Expired Pointer Dereference,base,2.8651999999999997,0
