cwe_id,name,type,score,relationship_count
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
117,Improper Output Neutralization for Logs,base,4.329000000000001,0
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),base,4.329000000000001,0
73,External Control of File Name or Path,base,3.3566,0
756,Missing Custom Error Page,base,2.8651999999999997,0
208,Observable Timing Discrepancy,base,2.8651999999999997,0
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),base,2.821,0
266,Incorrect Privilege Assignment,base,2.7742,0
770,Allocation of Resources Without Limits or Throttling,base,2.73416,0
499,Serializable Class Containing Sensitive Data,variant,2.6784000000000003,0
